totamt,design_no,job_no,diamond_color,diamond_quality,dpcs,dwt,gwt,job_id,memostock,metal_color,metal_quality,metal_type,nwt,size
0,DR-156_HBZ,17794,,,9,1.537,3.86,18936,0,Y,14K,Gold,3.553,7 US
0,DR-191,18136,,,5,2.543,4.36,18983,0,W,14K,Gold,3.851,6.5 US
0,DR-327,18124,,,7,1.158,2.5,18972,0,W,14K,Gold,2.268,6.5 US
0,DR-331,18117,,,7,1.022,2.31,18953,0,W,14K,Gold,2.106,6.5 US
0,DR-331,18116,,,7,1.048,2.36,18964,0,W,14K,Gold,2.15,6.5 US
0,DR-337,17809,,,42,1.017,3.79,18966,0,W,14K,Gold,3.587,7 US
0,DR-430_0.15,17790,,,15,2.55,3.51,18954,0,Y,14K,Gold,3,5.5 US
0,DR-467,18125,,,11,1.164,2.66,18973,0,Y,14K,Gold,2.427,6.5 US
0,DR-594,18352,,,8,1.041,3.26,18995,0,Y,14K,Gold,3.052,6 US
0,DR-604,18138,,,21,0.988,5.13,18952,0,W,14K,Gold,4.932,6.5 US
0,DR-608,17025,,,10,1.044,3.4,18956,0,Y,14K,Gold,3.191,6.5 US
0,DR-610,19100,,,9,0.899,2.51,18993,0,Y,14K,Gold,2.33,4.5 US
0,DR-625,18972,,,2,1.03,4.18,18991,0,Y,14K,Gold,3.974,US 6.5
0,DR-666_CSH_3.00,16499,,,15,3.088,2.71,18916,0,Y,14K,Gold,2.092,7 US
0,DR-669_EM,17168,,,12,1.778,3.19,18937,0,Y,14K,Gold,2.834,7 US
0,DR-677,16838,,,6,1.02,2.86,18910,0,Y,14K,Gold,2.656,7 US
0,DR-704_0.15,17175,,,8,1.173,2.58,18955,0,Y,14K,Gold,2.345,7 US
0,DR-711_EM_2.00,17598,,,1,2.01,3.78,18915,0,W,14K,Gold,3.378,7 US
0,DR-711_OVL_2.00,17619,,,1,2.05,3.63,18931,0,W,14K,Gold,3.22,7 US
0,DR-711_OVL_2.00,17617,,,1,2.02,3.62,18930,0,W,14K,Gold,3.216,7 US
0,DR-711_OVL_3.00,17622,,,1,3,3.96,18932,0,W,14K,Gold,3.36,7 US
0,DR-711_OVL_3.00,17624,,,1,3,4.2,18933,0,W,14K,Gold,3.6,7 US
0,DR-711_PRS_3.00,17592,,,1,3.07,4.21,18923,0,W,14K,Gold,3.596,7 US
0,DR-711_PRS_3.00,17594,,,1,3.05,3.89,18925,0,W,14K,Gold,3.28,7 US
0,DR-711_PRS_3.00,17593,,,1,3.04,4.15,18924,0,W,14K,Gold,3.542,7 US
0,DR-711_RD_2.00,17608,,,1,2.04,3.81,18926,0,W,14K,Gold,3.402,7 US
0,DR-711_RD_2.00,17609,,,1,2.04,3.78,18927,0,W,14K,Gold,3.372,7 US
0,DR-711_RD_3.00,17612,,,1,3.03,4.14,18928,0,W,14K,Gold,3.534,7 US
0,DR-711_RD_3.00,17613,,,1,3.01,4.13,18929,0,W,14K,Gold,3.528,7 US
0,DR-714,17703,,,9,1.108,2.35,18967,0,Y,14K,Gold,2.128,6.5 US
0,DR-727,18812,,,3,0.203,7.53,18946,0,Y,18K,Gold,7.489,10 US
